online,max_stack,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,float64,int64,bool,float64,int64,int64,int64
True,inf,9,True,0.006,57575,1024000,296
True,inf,9,True,0.006,58017,1024000,298
True,inf,9,True,0.006,58403,1024000,300
True,inf,9,True,0.006,58773,1024000,302
True,inf,9,True,0.006,59207,1024000,304
True,inf,9,True,0.006,59632,1024000,306
True,inf,9,True,0.006,60007,1024000,308
True,inf,9,True,0.006,60378,1024000,310
True,inf,9,True,0.006,60730,1024000,312
True,inf,9,True,0.006,61072,1024000,314
True,inf,9,True,0.006,61485,1024000,316
True,inf,9,True,0.006,61864,1024000,318
True,inf,9,True,0.006,62235,1024000,320
True,inf,9,True,0.006,62614,1024000,322
True,inf,9,True,0.006,62979,1024000,324
True,inf,9,True,0.006,63413,1024000,326
True,inf,9,True,0.006,63750,1024000,328
True,inf,9,True,0.006,64128,1024000,330
True,inf,9,True,0.006,64516,1024000,332
True,inf,9,True,0.006,64884,1024000,334
True,inf,9,True,0.006,65319,1024000,336
True,inf,9,True,0.006,65715,1024000,338
True,inf,9,True,0.006,66067,1024000,340
True,inf,9,True,0.006,66459,1024000,342
True,inf,9,True,0.006,66851,1024000,344
True,inf,9,True,0.006,67266,1024000,346
True,inf,9,True,0.006,67591,1024000,348
True,inf,9,True,0.006,67964,1024000,350
True,inf,9,True,0.006,68370,1024000,352
True,inf,9,True,0.006,68743,1024000,354
True,inf,9,True,0.006,69106,1024000,356
True,inf,9,True,0.006,69476,1024000,358
True,inf,9,True,0.006,69821,1024000,360
True,inf,9,True,0.006,70229,1024000,362
True,inf,9,True,0.006,70595,1024000,364
True,inf,9,True,0.006,70986,1024000,366
True,inf,9,True,0.006,71355,1024000,368
True,inf,9,True,0.006,71742,1024000,370
True,inf,9,True,0.006,72107,1024000,372
True,inf,9,True,0.006,72559,1024000,374
True,inf,9,True,0.006,72939,1024000,376
True,inf,9,True,0.006,73350,1024000,378
True,inf,9,True,0.006,73745,1024000,380
True,inf,9,True,0.006,74114,1024000,382
True,inf,9,True,0.006,74459,1024000,384
True,inf,9,True,0.006,74879,1024000,386
True,inf,9,True,0.006,75266,1024000,388
True,inf,9,True,0.006,75635,1024000,390
True,inf,9,True,0.006,75957,1024000,392
True,inf,9,True,0.006,76355,1024000,394
True,inf,9,True,0.006,76730,1024000,396
True,inf,9,True,0.006,77124,1024000,398
True,inf,9,True,0.006,77489,1024000,400
True,inf,9,True,0.006,77857,1024000,402
True,inf,9,True,0.006,78211,1024000,404
True,inf,9,True,0.006,78633,1024000,406
True,inf,9,True,0.006,79037,1024000,408
True,inf,9,True,0.006,79381,1024000,410
True,inf,9,True,0.006,79742,1024000,412
True,inf,9,True,0.006,80055,1024000,414
True,inf,9,True,0.006,80466,1024000,416
True,inf,9,True,0.006,80896,1024000,418
True,inf,9,True,0.006,81222,1024000,420
True,inf,9,True,0.006,81595,1024000,422
True,inf,9,True,0.006,81935,1024000,424
True,inf,9,True,0.006,82238,1024000,426
True,inf,9,True,0.006,82610,1024000,428
True,inf,9,True,0.006,82974,1024000,430
True,inf,9,True,0.006,83327,1024000,432
True,inf,9,True,0.006,83696,1024000,434
True,inf,9,True,0.006,84047,1024000,436
True,inf,9,True,0.006,84402,1024000,438
True,inf,9,True,0.006,84764,1024000,440
True,inf,9,True,0.006,85107,1024000,442
True,inf,9,True,0.006,85477,1024000,444
True,inf,9,True,0.006,85809,1024000,446
True,inf,9,True,0.006,86166,1024000,448
True,inf,9,True,0.006,86548,1024000,450
True,inf,9,True,0.006,86868,1024000,452
True,inf,9,True,0.006,87196,1024000,454
True,inf,9,True,0.006,87551,1024000,456
