online,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,int64,bool,float64,int64,int64,int64
True,15,True,0.006,7674,10240,65000
True,15,True,0.006,7649,10240,66000
True,15,True,0.006,7679,10240,67000
True,15,True,0.006,7686,10240,68000
True,15,True,0.006,7673,10240,69000
True,15,True,0.006,7687,10240,70000
True,15,True,0.006,7667,10240,71000
True,15,True,0.006,7697,10240,72000
True,15,True,0.006,7695,10240,73000
True,15,True,0.006,7705,10240,74000
True,15,True,0.006,7683,10240,75000
True,15,True,0.006,7654,10240,76000
True,15,True,0.006,7664,10240,77000
True,15,True,0.006,7660,10240,78000
True,15,True,0.006,7673,10240,79000
True,15,True,0.006,7668,10240,80000
True,15,True,0.006,7670,10240,81000
True,15,True,0.006,7663,10240,82000
True,15,True,0.006,7672,10240,83000
True,15,True,0.006,7682,10240,84000
True,15,True,0.006,7688,10240,85000
True,15,True,0.006,7668,10240,86000
True,15,True,0.006,7646,10240,87000
True,15,True,0.006,7614,10240,88000
True,15,True,0.006,7676,10240,89000
True,15,True,0.006,7666,10240,90000
True,15,True,0.006,7668,10240,91000
True,15,True,0.006,7663,10240,92000
True,15,True,0.006,7671,10240,93000
True,15,True,0.006,7691,10240,94000
True,15,True,0.006,7686,10240,95000
True,15,True,0.006,7659,10240,96000
True,15,True,0.006,7646,10240,97000
True,15,True,0.006,7662,10240,98000
True,15,True,0.006,7679,10240,99000
True,25,True,0.006,0,10240,0
True,25,True,0.006,345,10240,1000
True,25,True,0.006,680,10240,2000
True,25,True,0.006,1008,10240,3000
True,25,True,0.006,1312,10240,4000
True,25,True,0.006,1581,10240,5000
True,25,True,0.006,1841,10240,6000
True,25,True,0.006,2068,10240,7000
True,25,True,0.006,2323,10240,8000
True,25,True,0.006,2569,10240,9000
True,25,True,0.006,2789,10240,10000
True,25,True,0.006,2977,10240,11000
True,25,True,0.006,3193,10240,12000
True,25,True,0.006,3404,10240,13000
True,25,True,0.006,3594,10240,14000
True,25,True,0.006,3760,10240,15000
True,25,True,0.006,3957,10240,16000
True,25,True,0.006,4095,10240,17000
True,25,True,0.006,4244,10240,18000
True,25,True,0.006,4386,10240,19000
True,25,True,0.006,4530,10240,20000
True,25,True,0.006,4648,10240,21000
True,25,True,0.006,4768,10240,22000
True,25,True,0.006,4894,10240,23000
True,25,True,0.006,5016,10240,24000
True,25,True,0.006,5136,10240,25000
True,25,True,0.006,5269,10240,26000
True,25,True,0.006,5351,10240,27000
True,25,True,0.006,5452,10240,28000
True,25,True,0.006,5543,10240,29000
True,25,True,0.006,5656,10240,30000
True,25,True,0.006,5735,10240,31000
True,25,True,0.006,5838,10240,32000
True,25,True,0.006,5925,10240,33000
True,25,True,0.006,6002,10240,34000
True,25,True,0.006,6096,10240,35000
True,25,True,0.006,6171,10240,36000
True,25,True,0.006,6228,10240,37000
True,25,True,0.006,6291,10240,38000
True,25,True,0.006,6351,10240,39000
True,25,True,0.006,6416,10240,40000
True,25,True,0.006,6467,10240,41000
True,25,True,0.006,6499,10240,42000
True,25,True,0.006,6568,10240,43000
True,25,True,0.006,6584,10240,44000
True,25,True,0.006,6634,10240,45000
True,25,True,0.006,6692,10240,46000
True,25,True,0.006,6729,10240,47000
True,25,True,0.006,6761,10240,48000
True,25,True,0.006,6819,10240,49000
True,25,True,0.006,6850,10240,50000
True,25,True,0.006,6905,10240,51000
True,25,True,0.006,6932,10240,52000
True,25,True,0.006,6959,10240,53000
True,25,True,0.006,6995,10240,54000
True,25,True,0.006,7006,10240,55000
True,25,True,0.006,7056,10240,56000
True,25,True,0.006,7092,10240,57000
True,25,True,0.006,7112,10240,58000
True,25,True,0.006,7109,10240,59000
True,25,True,0.006,7132,10240,60000
True,25,True,0.006,7141,10240,61000
True,25,True,0.006,7159,10240,62000
True,25,True,0.006,7177,10240,63000
True,25,True,0.006,7197,10240,64000
True,25,True,0.006,7242,10240,65000
True,25,True,0.006,7243,10240,66000
True,25,True,0.006,7256,10240,67000
True,25,True,0.006,7274,10240,68000
True,25,True,0.006,7295,10240,69000
True,25,True,0.006,7312,10240,70000
True,25,True,0.006,7345,10240,71000
True,25,True,0.006,7342,10240,72000
True,25,True,0.006,7365,10240,73000
True,25,True,0.006,7373,10240,74000
