online,max_stack,code_distance,physical_error_rate,meas_error,error_count,run_count,time_run
bool,float64,int64,float64,bool,int64,int64,int64
True,7.0,100,0.00268,True,0,30016,2000
True,inf,100,0.00268,True,0,30016,2000
True,3.0,5,0.00316,True,998,147552,100
True,7.0,5,0.00316,True,999,149792,100
True,inf,5,0.00316,True,993,147392,100
True,3.0,9,0.00316,True,669,555264,180
True,7.0,9,0.00316,True,550,555264,180
True,inf,9,0.00316,True,603,555264,180
True,3.0,15,0.00316,True,53,333344,300
True,7.0,15,0.00316,True,45,333344,300
True,inf,15,0.00316,True,55,333344,300
True,3.0,25,0.00316,True,5,279776,500
True,7.0,25,0.00316,True,2,136416,500
True,inf,25,0.00316,True,9,642432,500
True,3.0,35,0.00316,True,0,85600,700
True,7.0,35,0.00316,True,0,85600,700
True,inf,35,0.00316,True,0,85600,700
True,3.0,50,0.00316,True,0,60032,1000
True,7.0,50,0.00316,True,0,60032,1000
True,inf,50,0.00316,True,0,50688,1000
True,3.0,75,0.00316,True,0,40032,1500
True,7.0,75,0.00316,True,0,40032,1500
True,inf,75,0.00316,True,0,40032,1500
True,3.0,100,0.00316,True,0,30016,2000
True,7.0,100,0.00316,True,0,30016,2000
True,inf,100,0.00316,True,0,30016,2000
True,3.0,5,0.00373,True,999,86688,100
True,7.0,5,0.00373,True,995,79488,100
True,inf,5,0.00373,True,998,87296,100
True,3.0,9,0.00373,True,999,351360,180
True,7.0,9,0.00373,True,999,399744,180
True,inf,9,0.00373,True,995,384192,180
True,3.0,15,0.00373,True,166,333344,300
True,7.0,15,0.00373,True,171,333344,300
True,inf,15,0.00373,True,193,333344,300
True,3.0,25,0.00373,True,22,199808,500
True,7.0,25,0.00373,True,10,199808,500
True,inf,25,0.00373,True,12,199808,500
True,3.0,35,0.00373,True,5,142880,700
True,7.0,35,0.00373,True,1,57120,700
True,inf,35,0.00373,True,0,85600,700
True,3.0,50,0.00373,True,1,39936,1000
True,7.0,50,0.00373,True,0,60032,1000
True,inf,50,0.00373,True,0,60032,1000
True,3.0,75,0.00373,True,0,40032,1500
True,7.0,75,0.00373,True,0,40032,1500
True,inf,75,0.00373,True,0,40032,1500
True,3.0,100,0.00373,True,0,30016,2000
True,7.0,100,0.00373,True,0,30016,2000
True,inf,100,0.00373,True,0,30016,2000
True,3.0,5,0.00439,True,995,48512,100
True,7.0,5,0.00439,True,995,48800,100
True,inf,5,0.00439,True,991,48000,100
True,3.0,9,0.00439,True,998,157824,180
True,7.0,9,0.00439,True,997,169920,180
True,inf,9,0.00439,True,999,157824,180
True,3.0,15,0.00439,True,655,333344,300
True,7.0,15,0.00439,True,573,333344,300
True,inf,15,0.00439,True,620,333344,300
True,3.0,25,0.00439,True,63,199808,500
True,7.0,25,0.00439,True,69,199808,500
True,inf,25,0.00439,True,76,199808,500
True,3.0,35,0.00439,True,21,142880,700
True,7.0,35,0.00439,True,6,142880,700
True,inf,35,0.00439,True,20,142880,700
True,3.0,50,0.00439,True,9,167552,1000
True,7.0,50,0.00439,True,0,60032,1000
True,inf,50,0.00439,True,3,140672,1000
True,3.0,75,0.00439,True,19,364128,1500
True,7.0,75,0.00439,True,0,373152,1500
True,inf,75,0.00439,True,1,373152,1500
True,3.0,100,0.00439,True,6,279936,2000
True,7.0,100,0.00439,True,0,279936,2000
True,inf,100,0.00439,True,0,279936,2000
True,3.0,5,0.00518,True,995,28320,100
True,7.0,5,0.00518,True,997,27136,100
True,inf,5,0.00518,True,992,26720,100
True,3.0,9,0.00518,True,996,61888,180
True,7.0,9,0.00518,True,998,63936,180
True,inf,9,0.00518,True,1001,63520,180
True,3.0,15,0.00518,True,999,142912,300
True,7.0,15,0.00518,True,999,148544,300
True,inf,15,0.00518,True,1001,147488,300
True,3.0,25,0.00518,True,506,199808,500
True,7.0,25,0.00518,True,374,199808,500
True,inf,25,0.00518,True,562,199808,500
True,3.0,35,0.00518,True,234,142880,700
True,7.0,35,0.00518,True,102,142880,700
True,inf,35,0.00518,True,173,142880,700
True,3.0,50,0.00518,True,133,99968,1000
True,7.0,50,0.00518,True,19,99968,1000
True,inf,50,0.00518,True,54,99968,1000
True,3.0,75,0.00518,True,448,399744,1500
True,7.0,75,0.00518,True,30,359808,1500
True,inf,75,0.00518,True,56,399744,1500
True,3.0,100,0.00518,True,279,299904,2000
True,7.0,100,0.00518,True,10,284032,2000
True,inf,100,0.00518,True,18,269888,2000
True,3.0,5,0.00611,True,992,15360,100
True,7.0,5,0.00611,True,992,15296,100
True,inf,5,0.00611,True,995,15808,100
True,3.0,9,0.00611,True,1001,27424,180
True,7.0,9,0.00611,True,996,25664,180
True,inf,9,0.00611,True,1000,26336,180
True,3.0,15,0.00611,True,1000,43072,300
True,7.0,15,0.00611,True,997,39904,300
True,inf,15,0.00611,True,991,37440,300
True,3.0,25,0.00611,True,998,64896,500
True,7.0,25,0.00611,True,997,67168,500
True,inf,25,0.00611,True,999,53984,500
True,3.0,35,0.00611,True,998,71360,700
True,7.0,35,0.00611,True,998,111680,700
True,inf,35,0.00611,True,999,70560,700
True,3.0,50,0.00611,True,1000,61824,1000
True,7.0,50,0.00611,True,583,99968,1000
True,inf,50,0.00611,True,999,92416,1000
True,3.0,75,0.00611,True,998,50304,1500
True,7.0,75,0.00611,True,290,66624,1500
True,inf,75,0.00611,True,473,66624,1500
True,3.0,100,0.00611,True,1000,37184,2000
True,7.0,100,0.00611,True,202,49984,2000
True,inf,100,0.00611,True,304,49984,2000
True,3.0,5,0.0072,True,995,9024,100
True,7.0,5,0.0072,True,997,9504,100
True,inf,5,0.0072,True,1001,9376,100
True,3.0,9,0.0072,True,996,11808,180
True,7.0,9,0.0072,True,994,11104,180
True,inf,9,0.0072,True,991,11200,180
True,3.0,15,0.0072,True,994,11488,300
True,7.0,15,0.0072,True,992,10784,300
True,inf,15,0.0072,True,1004,10752,300
True,3.0,25,0.0072,True,996,11008,500
True,7.0,25,0.0072,True,994,10528,500
True,inf,25,0.0072,True,997,8864,500
True,3.0,35,0.0072,True,1000,8480,700
True,7.0,35,0.0072,True,999,9216,700
True,inf,35,0.0072,True,992,7136,700
True,3.0,50,0.0072,True,993,5632,1000
True,7.0,50,0.0072,True,1000,7648,1000
True,inf,50,0.0072,True,996,5056,1000
True,3.0,75,0.0072,True,998,3328,1500
True,7.0,75,0.0072,True,1000,5440,1500
True,inf,75,0.0072,True,998,3520,1500
True,3.0,100,0.0072,True,1001,2144,2000
True,7.0,100,0.0072,True,1002,3904,2000
True,inf,100,0.0072,True,1013,2528,2000
True,3.0,5,0.00848,True,997,5760,100
True,7.0,5,0.00848,True,1003,5728,100
True,inf,5,0.00848,True,1002,5312,100
True,3.0,9,0.00848,True,1003,5120,180
True,7.0,9,0.00848,True,1001,5024,180
True,inf,9,0.00848,True,999,5056,180
True,3.0,15,0.00848,True,1005,3840,300
True,7.0,15,0.00848,True,1005,3520,300
True,inf,15,0.00848,True,999,3328,300
True,3.0,25,0.00848,True,1002,2624,500
True,7.0,25,0.00848,True,1011,2240,500
True,inf,25,0.00848,True,1009,2048,500
True,3.0,35,0.00848,True,1004,1824,700
True,7.0,35,0.00848,True,1016,1696,700
True,inf,35,0.00848,True,1017,1664,700
True,3.0,50,0.00848,True,1011,1408,1000
True,7.0,50,0.00848,True,1001,1408,1000
True,inf,50,0.00848,True,1001,1344,1000
True,3.0,75,0.00848,True,1025,1376,1500
True,7.0,75,0.00848,True,1023,1376,1500
True,inf,75,0.00848,True,1006,1344,1500
True,3.0,100,0.00848,True,1012,1376,2000
True,7.0,100,0.00848,True,1015,1344,2000
True,inf,100,0.00848,True,1019,1344,2000
